Rk,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G Per_game,GA/G,PP Special Teams,PPO Special Teams,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,New York Rangers*,29.1,82,55,23,4,114,0.695,278,226,4,3,0.61,-0.03,3.39,2.76,65,246,26.42,36,232,84.48,8,6,9.4,10.4,2582,10.8,2418,0.907,6
2,Carolina Hurricanes*,29.4,82,52,23,7,111,0.677,277,211,2,5,0.73,-0.03,3.38,2.57,67,249,26.91,35,258,86.43,11,8,8.5,8,2733,10.1,2101,0.9,8
3,Dallas Stars*,29.3,81,51,21,9,111,0.685,293,231,3,2,0.74,-0.04,3.62,2.85,58,237,24.47,43,238,81.93,12,4,6.8,7.5,2551,11.5,2324,0.901,4
4,Florida Panthers*,29.4,82,52,24,6,110,0.671,265,198,3,2,0.81,-0.02,3.23,2.41,63,268,23.51,51,291,82.47,8,9,13.6,13.5,2764,9.6,2279,0.913,8
5,Boston Bruins*,28.5,82,47,20,15,109,0.665,263,221,4,3,0.53,0.01,3.21,2.7,54,243,22.22,47,268,82.46,7,6,9.5,8.8,2399,11,2504,0.912,5
6,Vancouver Canucks*,28.6,81,50,22,9,109,0.673,277,217,0,2,0.67,-0.05,3.42,2.68,57,254,22.44,53,250,78.8,7,7,9.6,9.8,2308,12,2317,0.906,7
7,Winnipeg Jets*,29.4,81,51,24,6,108,0.667,255,196,0,1,0.66,-0.05,3.15,2.42,45,236,19.07,50,220,77.27,3,5,8.2,8.9,2462,10.4,2409,0.919,8
8,Colorado Avalanche*,28.8,81,49,25,7,105,0.648,297,251,2,2,0.52,-0.05,3.67,3.1,67,274,24.45,52,262,80.15,7,6,9,9.7,2678,11.1,2418,0.896,4
9,Edmonton Oilers*,29.4,80,49,25,6,104,0.65,289,226,2,1,0.75,-0.05,3.61,2.83,63,239,26.36,51,252,79.76,7,5,9.6,8.6,2711,10.7,2255,0.9,4
10,Toronto Maple Leafs*,28.8,81,46,25,10,102,0.63,294,255,5,2,0.52,0.01,3.63,3.15,57,235,24.26,54,234,76.92,6,9,9.9,10.2,2633,11.2,2414,0.894,5
11,Nashville Predators*,29.5,82,47,30,5,99,0.604,266,248,3,0,0.23,-0.02,3.24,3.02,58,269,21.56,57,247,76.92,7,5,9.7,9.5,2641,10.1,2507,0.901,4
12,Vegas Golden Knights*,29,81,45,28,8,98,0.605,262,239,4,2,0.27,-0.04,3.23,2.95,50,249,20.08,43,212,79.72,9,7,7.4,8.5,2515,10.4,2464,0.903,3
13,Los Angeles Kings*,29.5,81,43,27,11,97,0.599,249,206,2,5,0.46,-0.03,3.07,2.54,54,244,22.13,38,252,84.92,11,7,8.8,9.5,2581,9.6,2283,0.91,7
14,Tampa Bay Lightning*,29.1,81,44,29,8,96,0.593,282,263,3,1,0.26,0,3.48,3.25,70,244,28.69,39,231,83.12,5,6,11,11,2369,11.9,2392,0.89,4
15,New York Islanders*,29.6,81,38,27,16,92,0.568,240,254,1,5,-0.2,0.03,2.96,3.14,45,228,19.74,61,219,72.15,10,3,7.2,7.4,2438,9.8,2641,0.904,5
16,St. Louis Blues,29,81,43,33,5,91,0.562,233,247,5,1,-0.14,-0.02,2.88,3.05,45,249,18.07,46,212,78.3,11,7,7.4,8.7,2344,9.9,2599,0.905,4
17,Washington Capitals,30,82,40,31,11,91,0.555,216,252,4,5,-0.41,0.04,2.63,3.07,47,228,20.61,49,233,78.97,3,5,7.7,7.4,2172,9.9,2503,0.899,7
18,Detroit Red Wings,29.3,82,41,32,9,91,0.555,275,273,3,1,0.06,0.02,3.35,3.33,63,273,23.08,49,240,79.58,7,10,8.7,9.9,2375,11.6,2657,0.897,4
